iter	Passed	Remaining
0	140	140057
1	141	70593
2	142	47422
3	143	35843
4	147	29338
5	150	24914
6	151	21516
7	157	19502
8	165	18243
9	167	16591
10	180	16256
11	196	16163
12	209	15943
13	211	14908
14	219	14425
15	222	13713
16	225	13013
17	227	12394
18	229	11855
19	231	11328
20	232	10843
21	247	11001
22	249	10581
23	250	10179
24	258	10077
25	259	9723
26	260	9392
27	261	9088
28	263	8807
29	264	8539
30	266	8336
31	269	8150
32	271	7964
33	273	7779
34	275	7588
35	276	7410
36	281	7330
37	283	7183
38	285	7037
39	287	6904
40	289	6761
41	290	6619
42	295	6565
43	297	6459
44	298	6343
45	300	6239
46	302	6126
47	303	6021
48	308	5981
49	310	5904
50	318	5917
51	324	5912
52	329	5882
53	332	5828
54	335	5768
55	340	5732
56	341	5652
57	349	5678
58	353	5637
59	355	5566
60	357	5498
61	400	6051
62	401	5970
63	402	5892
64	409	5888
65	411	5817
66	412	5750
67	430	5897
68	440	5936
69	441	5863
70	442	5793
71	444	5724
72	454	5777
73	457	5720
74	459	5668
75	475	5780
76	477	5726
77	479	5667
78	489	5711
79	492	5669
80	494	5612
81	497	5568
82	498	5504
83	499	5447
84	505	5438
85	509	5416
86	511	5367
87	513	5326
88	515	5277
89	516	5227
90	518	5183
91	520	5134
92	521	5086
93	523	5041
94	531	5061
95	533	5026
96	535	4983
97	536	4940
98	538	4898
99	541	4872
100	543	4834
101	547	4820
102	549	4786
103	551	4748
104	553	4721
105	559	4716
106	561	4686
107	562	4649
108	565	4623
109	568	4600
110	570	4572
111	572	4537
112	574	4508
113	577	4485
114	578	4452
115	581	4429
116	582	4394
117	583	4361
118	586	4342
119	588	4316
120	589	4285
121	591	4254
122	600	4284
123	603	4264
124	605	4235
125	607	4216
126	610	4195
127	612	4172
128	613	4145
129	615	4118
130	621	4124
131	623	4097
132	625	4080
133	628	4062
134	630	4038
135	639	4062
136	642	4047
137	644	4024
138	649	4020
139	650	3998
140	652	3974
141	653	3951
142	655	3930
143	666	3961
144	668	3939
145	670	3919
146	682	3962
147	684	3940
148	696	3978
149	699	3961
150	700	3939
151	709	3959
152	712	3945
153	714	3923
154	718	3918
155	720	3898
156	722	3880
157	733	3907
158	734	3887
159	736	3866
160	737	3842
161	738	3821
162	741	3805
163	742	3784
164	743	3765
165	745	3746
166	754	3765
167	756	3745
168	760	3738
169	770	3762
170	773	3747
171	775	3733
172	782	3740
173	784	3723
174	785	3705
175	787	3686
176	789	3668
177	791	3657
178	796	3653
179	798	3635
180	799	3619
181	801	3600
182	802	3583
183	811	3600
184	813	3585
185	815	3567
186	816	3549
187	817	3532
188	821	3526
189	824	3513
190	825	3496
191	826	3479
192	828	3463
193	838	3484
194	840	3468
195	841	3451
196	842	3434
197	844	3421
198	851	3427
199	852	3410
200	854	3395
201	855	3380
202	857	3366
203	866	3380
204	867	3365
205	869	3351
206	871	3340
207	882	3359
208	883	3345
209	885	3330
210	886	3316
211	896	3331
212	898	3320
213	900	3305
214	901	3291
215	964	3501
216	969	3498
217	985	3535
218	1005	3586
219	1008	3574
220	1009	3559
221	1013	3551
222	1017	3546
223	1019	3532
224	1031	3554
225	1034	3541
226	1035	3527
227	1047	3546
228	1052	3542
229	1054	3530
230	1056	3516
231	1069	3539
232	1071	3527
233	1073	3514
234	1076	3504
235	1086	3517
236	1088	3505
237	1091	3493
238	1092	3478
239	1102	3490
240	1107	3486
241	1114	3490
